#37-1	N
Guatemalan	C
the	N
U.S	N
.	N
Disciplinary	C
Barracks	C
at	N
Fort	N
Leavenworth	C
,	N
Kansas.She	N
spent	N
a	N
long	N
period	N
in	N
solitary	C
confinement	C
and	N
attempted	C
suicide	C
twice	N
in	N
2016	N
.	N

#6-12	N
Obama's	N
staff	N
told	N
the	N
press	N
WikiLeaks	N
founder	N
Julian	N
Assange's	N
promise	N
to	N
agree	N
to	N
U.S	N
.	N
extradition	C
if	N
Manning	N
was	N
granted	C
clemency	C
had	N
nothing	N
to	N
do	N
with	N
the	N
decision	N
.	N

#6-13	N
Assange	C
is	N
currently	N
living	N
in	N
the	N
Ecuadorian	N
embassy	C
in	N
London	N
,	N
where	N
he	N
is	N
claiming	N
asylum	C
.	N

#24-26	N
When	N
he	N
heard	C
about	N
the	N
discovery	C
in	N
Vabbinfaru	C
resort	N
we	N
immediately	C
called	N
the	N
Police,	N
""""	N
said	N
Mohamed	N
Ibrahim	N
,	N
a	N
councilman	C
for	N
Fehendhoo	C
Island	N
,	N
to	N
Haveeru	C
Daily	N
.	N

#24-27	N
MH370	N
,	N
while	N
flying	N
from	N
Kuala	N
Lumpur	N
,	N
Malaysia	N
to	N
Beijing	N
,	N
China	N
,	N
vanished	C
without	N
a	N
trace	C
on	N
March	N
8	N
,	N
2014	N
.	N

#24-28	N
All	N
239	N
passengers	C
and	N
crew	C
are	N
believed	C
to	N
be	N
dead	N
.	N

#24-29	N
On	N
the	N
day	N
the	N
plane	N
went	N
missing	N
,	N
residents	C
on	N
the	N
small	N
Maldive	C
island	N
of	N
Kudahuvadhoo	C
claimed	C
to	N
have	N
seen	N
a	N
very	N
""""	N
low	N
flying	N
jumbo	N
jet	N
""""	N
crash	N
into	N
the	N
Indian	N
Ocean	N
.	N

#24-30	N
Some	N
also	N
noted	N
the	N
colors	N
appeared	C
to	N
resemble	C
that	N
of	N
a	N
Malaysia	C
Airlines	N
plane	N
.	N

#24-32	N
We've	N
seen	N
seaplanes	C
,	N
but	N
I'm	N
sure	N
that	N
this	N
was	N
not	N
one	N
of	N
those	N
.	N

#26-14	N
IKEA	C
spokesperson	C
Anna	N
Pilkrona-Godden	C
told	N
BBC	N
News	N
,	N
""""	N
Our	N
thoughts	N
are	N
with	N
those	N
affected,	N
""""	N
and	N
said	N
the	N
store	N
is	N
closed	N
for	N
the	N
time	N
being	N
.	N

#26-15	N
Västerås	C
is	N
in	N
central	N
Sweden	N
,	N
approximately	C
115	N
km	N
(70	N
miles)	N
west	N
from	N
the	N
capital	C
Stockholm	C
.	N

#26-16	N
The	N
population	C
is	N
roughly	C
110	N
thousand	N
.	N

#27-1	N
Report:	N
Vice-premier	C
of	N
North	N
Korea	N
executed	C
A	N
report	N
published	C
Wednesday	N
by	N
the	N
Yonhap	C
News	N
Agency	N
claims	C
vice	N
premier	C
Choe	N
Yong-gon	N
of	N
North	N
Korea	N
was	N
executed	C
in	N
May	N
.	N

#27-2	N
The	N
report	N
,	N
which	N
cites	C
an	N
unnamed	C
source	C
,	N
has	N
not	N
been	N
confirmed	C
by	N
Wikinews	C
or	N
other	N
agencies	N
.	N

#27-3	N
The	N
government	N
of	N
North	N
Korea	N
rarely	C
makes	N
statements	C
about	N
its	N
internal	C
affairs	C
.	N

#27-4	N
According	N
to	N
the	N
report	N
,	N
the	N
63-year-old	N
Choe	C
had	N
disagreed	C
with	N
Supreme	N
Leader	N
Kim	N
Jong-un's	N
forestry	C
policies	C
.	N

#27-5	N
Choe	C
,	N
one	N
of	N
seven	N
vice	N
premiers	C
,	N
was	N
in	N
charge	N
of	N
construction	C
and	N
building	C
material	C
industries	C
.	N

#11-8	N
""""	N
We'd	N
turn	N
the	N
laser	C
on	N
and	N
they'd	N
jump	N
on	N
an	N
object	C
,	N
hold	N
it	N
with	N
their	N
paws	C
and	N
intensively	C
bite	N
it	N
as	N
if	N
they	N
were	N
trying	N
to	N
capture	C
and	N
kill	N
it,	N
""""	N
says	N
lead	N
investigator	C
and	N
Yale	N
Associated	N
Professor	N
of	N
Psychiatry	C
Ivan	N
de	N
Araujo	C
.	N

#11-9	N
The	N
mice	N
behaved	C
normally	N
at	N
all	N
other	N
times	N
.	N

#11-10	N
The	N
work	N
was	N
inspired	C
by	N
Araujo's	N
desire	N
to	N
study	N
natural	N
feeding	C
behavior	C
,	N
as	N
opposed	C
to	N
animals	N
passively	C
munching	C
on	N
food	N
pellets	C
.	N

#11-11	N
The	N
study	N
covered	N
many	N
parts	N
of	N
the	N
brain	N
already	N
known	N
to	N
be	N
associated	C
with	N
feeding	N
,	N
and	N
the	N
results	N
suggested	C
some	N
areas	N
are	N
associated	C
with	N
both	N
hunting	C
and	N
feeding	N
and	N
others	N
only	N
with	N
just	N
one	N
behavior	C
.	N

#11-12	N
Stimulation	C
of	N
the	N
periaqueductal	C
gray	N
(PAG)	N
portion	N
of	N
the	N
brain	N
controlled	C
stalking	C
and	N
stimulation	C
of	N
the	N
reticular	C
formation	C
controlled	C
biting	N
.	N

#6-3	N
Artist's	N
rendition	C
of	N
Manning	C
as	N
she	N
views	N
herself	N
.	N

#6-4	N
The	N
information	C
Manning	C
released	C
to	N
the	N
public	N
through	N
WikiLeaks	C
and	N
The	N
Guardian	N
in	N
2010	N
included	N
diplomatic	C
accounts	N
,	N
videos	N
,	N
military	C
incident	N
logs	C
,	N
and	N
battle	N
plans	N
,	N
including	N
footage	C
of	N
an	N
American	N
Apache	C
helicopter	N
firing	N
on	N
suspected	C
Iraqi	N
insurgents	C
,	N
reports	N
of	N
prisoners	N
held	N
in	N
Guantanamo	C
Bay	N
without	N
trial	N
,	N
and	N
records	N
of	N
detainees	C
abused	C
by	N
the	N
Iraqi	N
military	C
.	N

#6-5	N
Many	N
in	N
Congress	N
have	N
denounced	C
Manning	C
as	N
a	N
traitor	C
,	N
stating	N
the	N
breach	C
endangered	C
U.S	N
.	N
national	N
security	N
.	N

#6-6	N
Manning	N
was	N
convicted	C
in	N
2013	N
of	N
22	N
charges	N
,	N
including	N
espionage	C
,	N
but	N
acquitted	C
of	N
aiding	C
the	N
enemy	N
.	N

#6-7	N
Republican	N
senator	N
John	N
McCain	N
,	N
who	N
ran	N
for	N
president	N
against	N
Obama	N
in	N
2008	N
,	N
said	N
""""	N
It	N
is	N
a	N
sad	N
,	N
yet	N
perhaps	N
fitting	C
commentary	C
on	N
President	N
Obama's	N
failed	N
national	N
security	N
policies	N
that	N
he	N
would	N
commute	C
the	N
sentence	N
of	N
an	N
individual	N
that	N
endangered	C
the	N
lives	N
of	N
American	N
troops	N
,	N
diplomats	C
,	N
and	N
intelligence	C
sources	N
by	N
leaking	N
hundreds	N
of	N
thousands	N
of	N
sensitive	C
government	N
documents	N
to	N
WikiLeaks	C
,	N
a	N
virulently	C
anti-American	N
organization	N
that	N
was	N
a	N
tool	N
of	N
Russia's	N
recent	N
interference	C
in	N
our	N
elections	C
.	N
""""	N

#5-1	N
Bomb	C
kills	N
at	N
least	N
50	N
in	N
Gao	N
,	N
Mali	N
A	N
vehicle	C
packed	C
with	N
explosives	C
was	N
detonated	C
this	N
morning	N
in	N
Gao	N
,	N
Mali	N
.	N

#5-3	N
The	N
bombing	N
targeted	C
a	N
camp	N
housing	N
government	N
soldiers	N
and	N
rebels	C
,	N
some	N
of	N
whom	N
were	N
in	N
a	N
meeting	N
at	N
the	N
time	N
.	N

#5-4	N
Northern	N
Mali	N
was	N
seized	C
by	N
Islamic	C
militants	C
in	N
2012	N
,	N
with	N
France	N
leading	N
a	N
military	N
intervention	C
the	N
following	N
year	N
.	N

#5-5	N
The	N
camp	N
was	N
formed	N
as	N
part	N
of	N
a	N
disputed	C
ceasefire	C
.	N

#5-6	N
Occasional	C
attacks	N
continue	N
,	N
and	N
the	N
latest	N
is	N
the	N
worst	C
in	N
years	N
.	N

#5-7	N
French	N
Interior	N
Minister	N
Bruno	N
Le	N
Roux	N
called	N
the	N
attack	N
""""	N
highly	N
"symbolic"""	N
.	N

#5-8	N
French	N
President	N
François	C
Hollande	C
visited	N
the	N
scene	N
last	N
week	N
.	N

#5-9	N
Victims	C
included	N
people	N
tasked	C
with	N
providing	C
patrols	C
,	N
part	N
of	N
a	N
United	N
Nations-backed	N
move	N
to	N
quell	C
the	N
violence	C
.	N

#5-10	N
Malian	N
President	N
Ibrahim	N
Boubacar	N
Keita	N
took	N
to	N
Twitter	N
today	N
to	N
declare	C
three	N
days	N
of	N
mourning	C
.	N

#25-9	N
While	N
sluggish	C
wage	C
growth	N
remains	N
a	N
pocket	N
of	N
weakness	C
in	N
the	N
economic	C
recovery	N
,	N
steady	C
payroll	C
gains	N
averaging	C
242,000	N
per	N
month	N
over	N
the	N
past	N
twelve	N
months	N
have	N
led	N
observers	C
to	N
consider	N
a	N
Federal	C
Reserve	C
interest	N
rate	N
hike	C
as	N
increasingly	C
likely	N
,	N
according	N
to	N
The	N
New	N
York	N
Times	N
.	N

#25-10	N
""""	N
We	N
view	N
this	N
report	N
as	N
easily	N
clearing	N
the	N
hurdle	C
needed	N
to	N
keep	N
the	N
Fed	C
on	N
track	N
for	N
a	N
September	N
rate	N
hike,	N
""""	N
said	N
Rob	N
Martin	N
,	N
an	N
economist	C
at	N
Barclays	N
in	N
New	N
York	N
.	N

#25-12	N
Although	N
the	N
Federal	N
Reserve	N
has	N
not	N
explicitly	C
stated	C
that	N
they	N
plan	N
to	N
raise	N
interest	N
rates	N
in	N
the	N
near	N
future	N
,	N
the	N
US	N
central	N
bank	N
has	N
stated	C
that	N
it	N
would	N
raise	N
rates	N
when	N
it	N
has	N
seen	N
""""	N
some	N
further	N
improvement	C
""""	N
in	N
the	N
jobs	N
market	N
.	N

#24-19	N
The	N
management	C
has	N
decided	N
to	N
hand	N
it	N
over	N
to	N
the	N
"Police"""	N
,	N
said	N
an	N
unnamed	C
official	N
to	N
SunOnline	N
,	N
who	N
said	N
authorities	C
don't	N
know	N
if	N
any	N
of	N
the	N
debris	C
taken	N
away	N
has	N
been	N
destroyed	C
.	N

#24-20	N
The	N
Serious	N
and	N
Organized	C
Crime	N
Unit	N
of	N
the	N
Maldives	C
Police	N
Service	N
and	N
experts	C
from	N
the	N
Maldives	C
Civil	C
Aviation	C
Authority	C
are	N
heading	C
the	N
investigation	C
.	N

#24-21	N
Yesterday	C
,	N
reports	N
stated	N
several	N
more	N
pieces	N
of	N
debris	C
,	N
one	N
piece	N
measuring	C
some	N
eight	N
feet	N
by	N
two	N
feet	N
(about	N
2.4	N
by	N
0.6	N
m)	N
,	N
were	N
found	N
on	N
Baa	N
Atoll	N
,	N
Fehendhoo	C
and	N
Fulhahdhoo	C
and	N
washed	N
ashore	C
sometime	N
in	N
the	N
past	N
few	N
days	N
.	N

#24-22	N
One	N
piece	C
appears	C
to	N
have	N
a	N
serial	C
number	N
on	N
the	N
side	N
,	N
possibly	N
reading	N
'021411270507.'	N

#24-23	N
Initially	C
residents	C
who	N
found	N
the	N
debris	C
took	N
it	N
home	N
.	N

#24-24	N
""""	N
A	N
resident	C
had	N
found	N
the	N
debris	C
and	N
taken	N
it	N
home	N
.	N

#6-14	N
He	N
faces	N
rape	C
accusations	C
from	N
two	N
Swedish	C
women	N
.	N

#6-15	N
The	N
Obama	N
administration	C
has	N
seen	N
what	N
The	N
New	N
York	N
Times	N
calls	N
an	N
""""	N
unprecedented	C
crackdown	C
on	N
leaks	C
of	N
government	C
secrets	N
.	N
""""	N

#6-16	N
Manning	C
is	N
among	N
more	N
than	N
1,500	N
individuals	C
whom	N
President	N
Obama	N
has	N
granted	N
clemency	C
during	N
his	N
tenure	C
.	N

#6-17	N
White	N
House	N
Press	N
Secretary	N
Josh	N
Ernest	N
was	N
asked	N
if	N
NSA	N
whistleblower	C
Edward	C
Snowden	C
would	N
also	N
be	N
pardoned	C
.	N

#6-18	N
Ernest	N
said	N
no	N
,	N
saying	N
the	N
information	N
Snowden	N
released	N
was	N
more	N
dangerous	C
to	N
the	N
U.S	N
.	N
public	N
and	N
pointed	N
out	N
that	N
while	N
Manning	N
had	N
gone	N
through	N
a	N
formal	N
trial	N
and	N
acknowledged	C
wrongdoing	C
,	N
"""Mr"	N
.	N
Snowden	N
fled	N
into	N
the	N
arms	N
of	N
an	N
adversary	C
and	N
has	N
sought	C
refuge	C
in	N
a	N
country	N
that	N
most	N
recently	N
made	N
a	N
concerted	C
effort	N
to	N
undermine	C
confidence	N
in	N
our	N
democracy	C
.	N
""""	N

#6-19	N
This	N
week	N
,	N
Obama	N
also	N
commuted	C
the	N
sentences	N
of	N
Oscar	N
Lopez	N
Rivera	N
,	N
a	N
Puerto	N
Rican	N
nationalist	C
linked	N
to	N
bombings	N
in	N
the	N
1970s	N
and	N
1980s	N
,	N
James	N
E	N
.	N
Cartwright	N
,	N
a	N
former	N
Marine	N
general	N
and	N
White	N
House	N
Chief	N
of	N
Staff	N
convicted	C
of	N
lying	N
to	N
the	N
FBI	N
,	N
and	N
over	N
two	N
hundred	N
other	N
individuals	N
,	N
mostly	N
drug	N
offenders	N
.	N

#4-8	N
Following	N
Apollo	C
17	N
,	N
Cernan	N
worked	N
on	N
the	N
Apollo-Soyuz	C
project	C
before	N
retiring	C
from	N
NASA	C
and	N
the	N
Navy	N
in	N
1976	N
.	N

#4-9	N
In	N
his	N
later	N
years	N
he	N
became	N
an	N
executive	C
and	N
consultant	C
,	N
wrote	N
an	N
autobiography	C
,	N
and	N
advocated	C
for	N
returning	C
to	N
the	N
Moon	N
along	N
with	N
Neil	N
Armstrong	N
,	N
the	N
first	N
human	N
to	N
walk	N
on	N
the	N
Moon	N
,	N
who	N
died	N
in	N
2012	N
.	N

#4-10	N
"""Truly"	N
,	N
America	N
has	N
lost	N
a	N
patriot	C
and	N
pioneer	C
who	N
helped	N
shape	C
our	N
country's	N
bold	C
ambitions	C
to	N
do	N
things	N
that	N
humankind	C
had	N
never	N
before	N
achieved,	N
""""	N
NASA	N
Administrator	C
Charles	N
Bolden	N
said	N
in	N
a	N
statement	N
.	N

#40-1	N
Gujarat	C
quota	C
protests	C
turn	N
violent	C
Parts	N
of	N
the	N
Indian	N
state	N
of	N
Gujarat	C
have	N
been	N
under	N
curfew	C
since	N
Tuesday	N
.	N

#40-2	N
At	N
least	N
seven	N
are	N
reported	N
dead	N
,	N
with	N
over	N
100	N
buses	N
and	N
dozens	C
of	N
police	N
stations	N
burned	N
,	N
after	N
protests	C
over	N
job	N
quotas	C
turned	N
violent	N
in	N
several	N
major	N
cities	N
including	N
Ahmedabad	N
,	N
Surat	N
,	N
and	N
Rajkot	N
.	N

#42-34	N
We	N
then	N
drilled	C
a	N
tunnel	C
to	N
a	N
pot	N
(the	N
foraging	C
arena)	N
,	N
where	N
the	N
ants	N
got	N
the	N
choice	N
between	N
the	N
food	N
with	N
medicine	C
and	N
the	N
food	N
without	N
.	N

#42-35	N
We	N
infected	C
the	N
ants	N
by	N
preparing	C
a	N
solution	C
of	N
the	N
fungus	C
Beauveria	C
bassiana	C
.	N

#42-36	N
Afterwards	C
,	N
each	N
ant	N
was	N
dipped	C
in	N
the	N
solution	C
for	N
a	N
couple	N
of	N
seconds	N
,	N
dried	C
on	N
a	N
cloth	N
and	N
put	N
in	N
the	N
nest	N
.	N

#42-37	N
After	N
exposing	C
the	N
ants	N
to	N
the	N
fungus	C
,	N
we	N
took	N
pictures	N
of	N
each	N
foraging	C
arena	C
three	N
times	N
per	N
day	N
,	N
and	N
counted	N
how	N
many	N
ants	N
were	N
present	N
on	N
each	N
food-source	C
.	N

#42-38	N
This	N
gave	N
us	N
the	N
data	N
that	N
ants	N
choose	N
more	N
medicine	N
after	N
they	N
have	N
been	N
infected	C
.	N

#42-39	N
The	N
result	N
that	N
healthy	N
ants	N
die	N
sooner	C
when	N
ingesting	C
ROS	C
[Reactive	N
Oxygen	C
Species	C
,	N
the	N
group	N
of	N
chemicals	C
that	N
includes	N
hydrogen	C
peroxide]	N
but	N
infected	C
ants	N
die	N
less	N
was	N
obtained	C
in	N
another	N
way	N
(as	N
you	N
have	N
to	N
'force	N
feed'	N
the	N
ROS	C
,	N
as	N
healthy	N
ants	N
,	N
when	N
given	N
the	N
choice	N
,	N
ignore	C
that	N
food-source.)	N

#42-80	N
If	N
they	N
would	N
only	N
do	N
it	N
in	N
the	N
lab	N
,	N
the	N
behaviour	C
wouldn't	N
be	N
very	N
interesting	N
.	N

#42-81	N
We	N
have	N
some	N
guesses	C
where	N
they	N
might	N
get	N
it	N
from	N
,	N
but	N
at	N
the	N
moment	C
we	N
don't	N
know	N
yet	N
.	N

#42-82	N
That	N
said	N
,	N
I	N
plan	N
to	N
investigate	C
this	N
question	N
(among	N
others)	N
further	N
[in]	N
the	N
next	N
couple	C
of	N
years	N
.	N

#42-83	N
Wikinews:	N
For	N
your	N
PhD	C
you	N
researched	C
ants'	N
scent-based	C
communications	C
.	N

#42-84	N
Could	N
healthy	N
ants	N
perhaps	N
tell	N
other	N
ants	N
are	N
infected	C
and	N
encourage	C
this	N
behaviour?	N

#42-86	N
There's	N
conflicting	C
evidence	C
about	N
whether	N
sick	N
ants	N
actually	C
smell	N
different	N
from	N
healthy	N
ones	N
or	N
not	N
.	N

#42-88	N
Sick	N
ants	N
stop	N
most	N
interaction	C
with	N
nestmates	C
and	N
especially	N
brood	C
,	N
and	N
leave	N
the	N
nest	C
to	N
die	N
in	N
isolation	C
.	N

#42-57	N
NB:	N
For	N
ants	N
,	N
see	N
above	N
about	N
the	N
collection	C
.	N

#42-58	N
This	N
species	C
of	N
fungus	C
does	N
appear	C
in	N
Finland	N
,	N
but	N
we	N
chose	N
to	N
use	N
a	N
different	N
strain	C
from	N
Denmark	N
(with	N
thanks	N
to	N
Prof	N
.	N
J	N
.	N
Eilenberg	N
and	N
the	N
laboratory	C
technician	C
Louise	N
Lee	N
Munch	N
Larsen	N
from	N
the	N
University	N
of	N
Copenhagen)	N
.	N

#42-59	N
Animals	N
can	N
adapt	C
to	N
local	N
strains	C
('local	N
adaptation')	N
,	N
and	N
just	N
to	N
make	N
sure	N
we	N
thought	N
it	N
would	N
be	N
good	N
to	N
use	N
a	N
strain	C
of	N
fungus	C
that	N
the	N
ants	N
definitely	C
did	N
not	N
evolve	C
specific	C
resistances	C
against	N
.	N

#42-60	N
This	N
means	N
that	N
the	N
reaction	C
of	N
the	N
ants	N
(to	N
self-medicate)	N
is	N
very	N
likely	N
to	N
be	N
a	N
general	N
response	N
,	N
and	N
not	N
just	N
against	N
their	N
local	N
fungal	C
enemies	C
.	N

#42-61	N
Wikinews:	N
Are	N
there	N
any	N
ethical	C
considerations	C
around	N
exposing	C
ants	N
to	N
toxins	C
and	N
parasites?	N

#23-12	N
He	N
alleges	C
this	N
was	N
done	N
to	N
ensure	C
the	N
inclusion	C
of	N
the	N
low-polling	C
candidates	C
former	N
Hewlett-Packard	N
CEO	N
Carly	N
Fiorina	N
,	N
former	N
New	N
York	N
governor	N
George	N
Pataki	N
,	N
Senator	N
Lindsey	N
Graham	N
,	N
and	N
former	N
Virginia	N
governor	N
Jim	N
Gilmore	N
,	N
because	N
Fox	N
News	N
recognizes	C
these	N
candidates	C
as	N
""""	N
major	N
players	N
.	N
""""	N

#23-13	N
Furthermore	C
,	N
Everson	N
argues	C
the	N
Fox	N
News	N
criteria	C
are	N
not	N
"""objective,"	N
""""	N
as	N
Title	N
11	N
requires	N
,	N
because	N
they	N
fail	N
to	N
define	C
the	N
terms	N
"""consistently"	N
""""	N
and	N
"""recognized"	N
""""	N
when	N
referring	C
to	N
polls	N
.	N

#23-14	N
He	N
asserts	C
he	N
was	N
included	N
in	N
the	N
Republican	C
Party's	N
online	N
straw	C
poll	N
in	N
May	N
and	N
is	N
the	N
only	N
candidate	N
still	N
listed	N
on	N
that	N
poll	N
who	N
has	N
been	N
excluded	C
from	N
Thursday's	N
debate	C
.	N

#23-15	N
Election	N
law	N
expert	C
Richard	N
Winger	N
,	N
publisher	C
of	N
Ballot	N
Access	N
News	N
,	N
says	N
Everson	N
is	N
""""	N
completely	N
correct	N
""""	N
in	N
his	N
challenge	C
.	N

#23-16	N
However	N
,	N
he	N
believes	N
Everson	N
only	N
has	N
a	N
chance	N
of	N
success	N
if	N
he	N
actually	C
files	N
a	N
lawsuit	C
rather	N
than	N
simply	N
complaining	C
to	N
the	N
FEC	N
.	N

#28-15	N
""""	N
We're	N
here	N
today	N
on	N
a	N
very	N
sad	N
day,	N
""""	N
said	N
Tim	N
Cannon	N
,	N
deputy	C
chief	N
of	N
the	N
HCSO	N
.	N

#28-16	N
""""	N
We're	N
here	N
with	N
our	N
brothers	N
in	N
arms	C
standing	N
behind	N
us	N
because	N
we're	N
all	N
hurting	C
.	N

#28-17	N
It's	N
a	N
difficult	C
day	N
for	N
us	N
at	N
the	N
sheriff's	N
office	N
.	N

#28-18	N
Once	N
again	N
,	N
a	N
tragedy	C
has	N
struck…our	N
city	N
.	N

#28-19	N
Our	N
hearts	N
go	N
out	N
to	N
those…affected	N
by	N
this	N
tragedy	C
.	N
""""	N

#28-20	N
Tuesday	N
,	N
Conley	N
was	N
allowed	N
to	N
speak	N
to	N
reporters	C
at	N
an	N
administrative	C
segregation	C
unit	N
of	N
the	N
Harris	N
County	N
Jail	N
.	N

#28-21	N
Conley	N
said	N
he	N
had	N
been	N
living	N
in	N
the	N
house	N
and	N
although	N
he	N
had	N
promised	C
to	N
move	N
out	N
,	N
he	N
did	N
not	N
have	N
elsewhere	C
to	N
go	N
.	N

#28-22	N
He	N
was	N
angered	C
when	N
he	N
returned	N
to	N
find	N
the	N
door	N
locks	N
changed	N
.	N

#28-23	N
Conley	N
also	N
felt	N
all	N
the	N
victims	C
disrespected	C
and	N
mistreated	C
him	N
.	N

#33-4	N
Tom	N
Williams	N
,	N
auxiliary	C
bishop	C
of	N
Liverpool	N
,	N
conducted	C
the	N
Roman	N
Catholic	C
mass	C
in	N
St	N
Mary's	N
Roman	N
Catholic	C
Church	N
in	N
Liverpool's	N
Woolton	C
area	N
.	N

#33-6	N
Eulogies	C
were	N
delivered	C
by	N
Cliff	N
Richard	N
and	N
Paul	N
O'Grady	N
together	N
with	N
poems	C
read	N
by	N
two	N
of	N
Black's	N
sons	N
.	N

#33-7	N
Further	N
tributes	C
were	N
paid	N
by	N
Tom	N
Jones	N
,	N
who	N
flew	C
in	N
specially	C
for	N
the	N
funeral	C
.	N

#33-8	N
After	N
the	N
service	N
,	N
Black	N
was	N
to	N
be	N
interred	C
in	N
a	N
private	N
ceremony	C
,	N
next	N
to	N
the	N
graves	C
of	N
her	N
parents	N
at	N
the	N
Allerton	C
cemetery	C
.	N

#33-9	N
She	N
died	N
early	N
this	N
month	N
,	N
aged	N
72	N
,	N
after	N
she	N
fell	N
at	N
her	N
home	N
in	N
Spain	N
and	N
suffered	C
a	N
stroke	C
.	N

#34-1	N
North	N
Korea	N
puts	N
military	N
in	N
'quasi-state	N
of	N
war'	N
According	C
to	N
Yonhap	C
news	N
agency	N
,	N
quoting	C
North	N
Korea's	N
main	N
news	N
agency	N
Korean	N
Central	N
News	N
Agency	N
(KCNA)	N
,	N
the	N
country's	N
military	N
has	N
been	N
placed	N
on	N
high	N
alert	C
and	N
has	N
been	N
told	N
to	N
prepare	C
a	N
""""	N
quasi-state	C
of	N
"war"""	N
.	N

#13-6	N
Although	N
the	N
51-48	N
vote	N
was	N
mostly	N
along	N
party	N
lines	N
,	N
some	N
Republicans	C
have	N
expressed	C
uncertainty	C
about	N
repealing	C
Obamacare	C
before	N
a	N
replacement	C
system	N
is	N
worked	N
out	N
.	N

#13-7	N
Although	N
president-elect	C
Donald	N
Trump	N
has	N
called	N
for	N
a	N
""""	N
repeal	N
and	N
replace	N
""""	N
plan	N
,	N
saying	N
that	N
a	N
new	N
health	N
care	N
system	N
would	N
be	N
enacted	C
""""	N
almost	N
simultaneously,	N
""""	N
many	N
in	N
government	N
and	N
the	N
press	N
have	N
expressed	C
doubts	C
about	N
whether	N
this	N
would	N
actually	N
happen	N
.	N

#13-8	N
Senator	C
Susan	N
Collins	N
of	N
Maine	N
said	N
she	N
would	N
like	N
to	N
at	N
least	N
see	N
a	N
well-constructed	C
plan	N
before	N
voting	C
and	N
Senator	C
Johnny	N
Isakson	N
of	N
Georgia	N
said	N
repealing	C
Obamacare	N
without	N
replacing	N
it	N
was	N
"""unacceptable"	N
.	N
""""	N

#13-9	N
These	N
concerns	C
were	N
shared	N
by	N
members	N
of	N
the	N
House	N
of	N
Representatives	C
.	N

#13-10	N
""""	N
We	N
need	N
to	N
be	N
voting	N
for	N
a	N
replacement	C
plan	N
at	N
the	N
same	N
time	N
that	N
we	N
vote	N
for	N
repeal,	N
""""	N
added	N
Representative	C
Mark	N
Meadows	N
of	N
North	N
Carolina	N
.	N

#39-24	N
Neighbouring	C
Hungary	N
is	N
constructing	C
a	N
border	N
fence	C
across	N
its	N
entire	N
frontier	C
with	N
Serbia	N
.	N

#39-25	N
Yesterday	N
alone	N
saw	N
a	N
record	N
3,241	N
attempts	C
to	N
enter	N
Hungary	N
illegally	C
,	N
according	N
to	N
authorities	C
there	N
.	N

#39-26	N
Conflict	C
in	N
Syria	N
and	N
other	N
parts	N
of	N
the	N
world	N
has	N
led	N
refugees	C
to	N
Europe	N
.	N

#39-27	N
Once	N
inside	N
,	N
they	N
can	N
move	N
freely	C
inside	N
the	N
Schengen	C
Area	N
,	N
which	N
covers	N
most	N
of	N
the	N
EU	N
.	N

#39-28	N
Austrian	N
police	N
earlier	N
this	N
week	N
arrested	C
three	N
motorists	C
suspected	C
of	N
people	N
smuggling	C
.	N

#39-29	N
One	N
driver	N
is	N
accused	C
of	N
moving	N
34	N
people	N
,	N
ten	N
of	N
them	N
children	N
,	N
into	N
Austria	N
from	N
Serbia	N
.	N

#39-30	N
The	N
group	N
were	N
left	N
by	N
the	N
roadside	C
near	N
Bruck	N
an	N
der	N
Leitha	N
and	N
reported	N
struggling	C
to	N
breathe	C
in	N
the	N
van	N
.	N

#4-1	N
Former	N
NASA	C
astronaut	C
Eugene	N
Cernan	N
dies	N
aged	N
82	N
Eugene	N
Cernan	N
,	N
former	N
NASA	C
astronaut	C
and	N
the	N
most	N
recent	N
human	N
to	N
walk	N
on	N
the	N
Moon	N
,	N
died	N
on	N
Monday	N
aged	N
82	N
,	N
according	C
to	N
a	N
NASA	C
statement	C
.	N

#29-10	N
Although	N
he	N
described	N
Trump's	N
previous	N
foray	C
into	N
politics	N
as	N
a	N
"""charade"	N
""""	N
during	N
a	N
2011	N
interview	N
with	N
Wikinews	C
,	N
Martin	N
now	N
sees	N
himself	N
as	N
Trump's	N
""""	N
tag	N
team	N
""""	N
partner	N
in	N
attacking	C
the	N
Bush	N
candidacy	C
.	N

#29-11	N
""""	N
Trump	N
has	N
the	N
raw	C
media	N
power	N
to	N
weaken	C
Bush,	N
""""	N
says	N
Martin	N
,	N
""""	N
I	N
have	N
the	N
negative	N
information	N
and	N
hardball	C
media	N
tactics	C
to	N
make	N
Bush	N
a	N
toxic	C
candidate	C
for	N
the	N
Republican	N
base	N
.	N
""""	N

#29-12	N
Martin	N
adamantly	C
opposes	C
Bush	N
because	N
of	N
the	N
foreign	N
policy	N
of	N
the	N
candidate's	N
brother	N
,	N
former	N
President	N
George	N
W	N
.	N
Bush	N
.	N

#29-13	N
He	N
also	N
criticizes	C
Bush	N
for	N
his	N
alleged	C
economic	N
benefit	N
from	N
the	N
collapse	C
of	N
Lehman	C
Brothers	N
,	N
labeling	N
Bush	N
as	N
a	N
""""	N
front	N
man	N
for	N
a	N
